"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PF6C7F8H","journalArticle","2013","Raymond, Peter A.; Hartmann, Jens; Lauerwald, Ronny; Sobek, Sebastian; McDonald, Cory P.; Hoover, Mark; Butman, David; Striegl, Robert G.; Striegl, Robert G.; Striegl, Robert G.; Mayorga, Emilio; Humborg, Christoph; Kortelainen, Pirkko; Dürr, Hans H.; Meybeck, Michel; Meybeck, Michel; Meybeck, Michel; Ciais, Philippe; Guth, Peter L.","Global carbon dioxide emissions from inland waters","Nature","","","10.1038/nature12760","","Carbon dioxide (CO2) transfer from inland waters to the atmosphere, known as CO2 evasion, is a component of the global carbon cycle. Global estimates of CO2 evasion have been hampered, however, by the lack of a framework for estimating the inland water surface area and gas transfer velocity and by the absence of a global CO2 database. Here we report regional variations in global inland water surface area, dissolved CO2 and gas transfer velocity. We obtain global CO2 evasion rates of 1.8(-0.25)(+0.25) petagrams of carbon (Pg C) per year from streams and rivers and 0.32(-0.26)(+0.52) Pg C yr(-1) from lakes and reservoirs, where the upper and lower limits are respectively the 5th and 95th confidence interval percentiles. The resulting global evasion rate of 2.1 Pg C yr(-1) is higher than previous estimates owing to a larger stream and river evasion rate. Our analysis predicts global hotspots in stream and river evasion, with about 70 per cent of the flux occurring over just 20 per cent of the land surface. The source of inland water CO2 is still not known with certainty and new studies are needed to research the mechanisms controlling CO2 evasion globally.","2013","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: 24256802 PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRBU7Q5Q","journalArticle","2015","Creed, Irena F.; McKnight, Diane M.; Pellerin, Brian A.; Green, Mark B.; Bergamaschi, Brian A.; Aiken, George R.; Burns, Douglas A.; Shanley, Jamie; Findlay, Stuart E. G.; Striegl, Rob; Striegl, Robert G.; Aulenbach, Brent T.; Striegl, R. G.; Clow, David W.; Laudon, Hjalmar; McGlynn, Brian L.; McGuire, Kevin J.; Smith, Richard A.; Stackpoole, Sarah M.","The river as a chemostat: fresh perspectives on dissolved organic matter flowing down the river continuum","Canadian Journal of Fisheries and Aquatic Sciences","","","10.1139/cjfas-2014-0400","","A better understanding is needed of how hydrological and biogeochemical processes control dissolved organic car- bon (DOC) concentrations and dissolved organic matter (DOM) composition from headwaters downstream to large rivers. We exam- ined a large DOM dataset from the National Water Information System of the US Geological Survey, which represents approximately 100 000 measurements of DOC concentration and DOM composition at many sites along rivers across the United States. Application of quantile regression revealed a tendency towards downstream spatial and temporal homogenization of DOC concentrations and a shift from dominance of aromatic DOM in headwaters to more aliphatic DOM downstream. The DOC concentration-discharge (C-Q) relationships at each site revealed a downstream tendency towards a slope of zero. We propose that despite complexities in river networks that have driven many revisions to the River Continuum Concept, rivers show a tendency towards chemostasis (C-Q slope of zero) because of a downstream shift from a dominance of hydrologic drivers that connect terrestrial DOM sources to streams in the headwaters towards a dominance of instream and near-stream biogeochemical processes that result in preferential losses of aromatic DOM and preferential gains of aliphatic DOM. Resume : Une meilleure comprehension de l'influence des processus hydrologiques et biogeochimiques sur les concentrations de carbone organique dissous (COD) et sur la composition des matieres organiques dissoutes (MOD) des cours d'eau d'amont jusqu'aux grands fleuves est necessaire. Nous avons examine un imposant ensemble de donnees sur la MOD du Systeme national d'information sur l'eau de la commission geologique des Etats-Unis (US Geological Survey), qui represente environ 100 000 mesures de concentration de COD et de composition de MOD en de nombreux endroits le long de rivieres ala grandeur des Etats-Unis. L'application de la regression quantile a revele une tendance al'homogeneisation spatiale et temporelle vers l'aval des concentrations de COD et le passage d'une predominance de MOD aromatiques dans les cours d'eau d'amont aplus de MOD aliphatiques en aval. Les relations concentrations de COD-debit (C-D) achaque site ont revele une tendance vers une pente nulle vers l'aval. Nous proposons que, malgre les complexites des reseaux hydrographiques qui ont mene ade nombreuses revisions du concept du continuum fluvial, les rivieres tendent vers la chimiostase (pente nulle de la relation C-D) en raison du passage vers l'aval d'une predominance de facteurs hy- drologiques qui relient les sources de MOD terrestres aux cours d'eau d'amont, aune predominance de processus biogeochimiques dans le cours d'eau ou aproximite qui se traduisent par des pertes preferentielles de MOD aromatiques et des gains preferentiels de MOD aliphatiques. (Traduit par la Redaction)","2015","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9E2QRTKL","journalArticle","2015","Hotchkiss, Erin R.; Hall, Robert O.; Sponseller, Ryan A.; Butman, David; Klaminder, Jonatan; Laudon, Hjalmar; Rosvall, Martin; Karlsson, Jan","Sources of and processes controlling CO2 emissions change with the size of streams and rivers","Nature Geoscience","","","10.1038/ngeo2507","","Carbon dioxide (CO2) evasion from streams and rivers to the atmosphere represents a substantial flux in the global carbon cycle(1-3). The proportions of CO2 emitted from streams and rivers that com ...","2015","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45S8P63S","journalArticle","2016","Fasching, Christina; Ulseth, Amber J.; Schelker, Jakob; Steniczka, Gertraud; Battin, Tom J.","Hydrology controls dissolved organic matter export and composition in an Alpine stream and its hyporheic zone","Limnology and Oceanography","","","10.1002/lno.10232","","Streams and rivers transport dissolved organic matter (DOM) from the terrestrial environment to downstream ecosystems. In light of climate and global change it is crucial to understand the temporal dynamics of DOM concentration and composition, and its export fluxes from headwaters to larger downstream ecosystems. We monitored DOM concentration and composition based on a diurnal sampling design for 3 years in an Alpine headwater stream. We found hydrologic variability to control DOM composition and the coupling of DOM dynamics in the streamwater and the hyporheic zone. High-flow events increased DOM inputs from terrestrial sources (as indicated by the contributions of humic- and fulvic-like fluorescence), while summer baseflow enhanced the autochthonous imprint of DOM. Diurnal and seasonal patterns of DOM composition were likely induced by biological processes linked to temperature and photosynthetic active radiation (PAR). Floods frequently interrupted diurnal and seasonal patterns of DOM, which led to a decoupling of streamwater and hyporheic water DOM composition and delivery of aromatic and humic-like DOM to the streamwater. Accordingly, DOM export fluxes were largely of terrigenous origin as indicated by optical properties. Our study highlights the relevance of hydrologic and seasonal dynamics for the origin, composition and fluxes of DOM in an Alpine headwater stream.","2016","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: 27478248 PMCID: 4950147","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DKDI79UK","journalArticle","2014","Cory, Rose M.; Ward, Collin P.; Crump, Byron C.; Kling, George W.","Sunlight controls water column processing of carbon in arctic fresh waters","Science","","","10.1126/science.1253119","","Carbon in thawing permafrost soils may have global impacts on climate change; however, the factors that control its processing and fate are poorly understood. The dominant fate of dissolved organic carbon (DOC) released from soils to inland waters is either complete oxidation to CO 2 or partial oxidation and river export to oceans. Although both processes are most often attributed to bacterial respiration, we found that photochemical oxidation exceeds rates of respiration and accounts for 70 to 95% of total DOC processed in the water column of arctic lakes and rivers. At the basin scale, photochemical processing of DOC is about one-third of the total CO 2 released from surface waters and is thus an important component of the arctic carbon budget.","2014","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: 25146289 PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W797WVPC","journalArticle","2011","Aufdenkampe, Anthony K.; Mayorga, Emilio; Raymond, Peter A.; Melack, John M.; Doney, Scott C.; Alin, Simone R.; Aalto, Rolf; Yoo, Kyungsoo","Riverine coupling of biogeochemical cycles between land, oceans, and atmosphere","Frontiers in Ecology and the Environment","","","10.1890/100014","","Streams, rivers, lakes, and other inland waters are important agents in the coupling of biogeochemical cycles between continents, atmosphere, and oceans. The depiction of these roles in global-scale assessments of carbon (C) and other bioactive elements remains limited, yet recent findings suggest that C discharged to the oceans is only a fraction of that entering rivers from terrestrial ecosystems via soil respiration, leaching, chemical weathering, and physical erosion. Most of this C influx is returned to the atmosphere from inland waters as carbon dioxide (CO2) or buried in sedimentary deposits within impoundments, lakes, floodplains, and other wetlands. Carbon and mineral cycles are coupled by both erosion–deposition processes and chemical weathering, with the latter producing dissolved inorganic C and carbonate buffering capacity that strongly modulate downstream pH, biological production of calcium-carbonate shells, and CO2 outgassing in rivers, estuaries, and coastal zones. Human activities substantially affect all of these processes.","2011","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XUD7XHQQ","journalArticle","2001","McKnight, Diane M.; Boyer, Elizabeth W.; Westerhoff, Paul; Doran, Peter T.; Kulbe, Thomas; Andersen, Dale T.","Spectrofluorometric characterization of dissolved organic matter for indication of precursor organic material and aromaticity","Limnology and Oceanography","","","10.4319/lo.2001.46.1.0038","","We studied the fluorescence properties of fulvic acids isolated from streams and rivers receiving predominantly terrestrial sources of organic material and from lakes with microbial sources of organic material. Microbially derived fulvic acids have fluorophores with a more sharply defined emission peak occurring at lower wavelengths than fluorophores in terrestrially derived fulvic acids. We show that the ratio of the emission intensity at a wavelength of 450 nm to that at 500 nm, obtained with an excitation of 370 nm, can serve as a simple index to distinguish sources of isolated aquatic fulvic acids. In our study, this index has a value of ;1.9 for microbially derived fulvic acids and a value of ;1.4 for terrestrially derived fulvic acids. Fulvic acids isolated from four large rivers in the United States have fluorescence index values of 1.4‐1.5, consistent with predominantly terrestrial sources. For fulvic acid samples isolated from a river, lakes, and groundwaters in a forested watershed, the fluorescence index varied in a manner suggesting different sources for the seepage and streamfed lakes. Furthermore, we identified these distinctive fluorophores in filtered whole water samples from lakes in a desert oasis in Antarctica and in filtered whole water samples collected during snowmelt from a Rocky Mountain stream. The fluorescence index measurement in filtered whole water samples in field studies may augment the interpretation of dissolved organic carbon sources for understanding carbon cycling in aquatic ecosystems.","2001","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZJ6A2BQ9","journalArticle","2008","Helms, John R.; Stubbins, Aron; Ritchie, Jason D.; Minor, Elizabeth C.; Kieber, David J.; Mopper, Kenneth","Absorption spectral slopes and slope ratios as indicators of molecular weight, source, and photobleaching of chromophoric dissolved organic matter","Limnology and Oceanography","","","10.4319/lo.2008.53.3.0955","","A new approach for parameterizing dissolved organic matter (DOM) ultraviolet-visible absorption spectra is presented. Two distinct spectral slope regions (275–295 nm and 350–400 nm) within log-transformed absorption spectra were used to compare DOM from contrasting water types, ranging from wetlands (Great Dismal Swamp and Suwannee River) to photobleached oceanic water (Atlantic Ocean). On the basis of DOM size-fractionation studies (ultrafiltration and gel filtration chromatography), the slope of the 275–295-nm region and the ratio of these slopes (SR; 275–295-nm slope : 350–400-nm slope) were related to DOM molecular weight (MW) and to photochemically induced shifts in MW. Dark aerobic microbial alteration of chromophoric DOM (CDOM) resulted in spectral slope changes opposite of those caused by photochemistry. Along an axial transect in the Delaware Estuary, large variations in SR were measured, probably due to mixing, photodegradation, and microbial alteration of CDOM as terrestrially derived DOM transited through the estuary. Further, SR varied by over a factor of 13 between DOM-rich wetland waters and Sargasso Sea surface waters. Currently, there is no consensus on a wavelength range for log-transformed absorption spectra. We propose that the 275–295-nm slope be routinely reported in future DOM studies, as it can be measured with high precision, it facilitates comparison among dissimilar water types including CDOM-rich wetland and CDOM-poor marine waters, and it appears to be a good proxy for DOM MW.","2008","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IUE52F7M","journalArticle","2010","Fellman, Jason B.; Hood, Eran; Spencer, Robert G. M.","Fluorescence spectroscopy opens new windows into dissolved organic matter dynamics in freshwater ecosystems: A review","Limnology and Oceanography","","","10.4319/lo.2010.55.6.2452","","The biochemical composition of dissolved organic matter (DOM) strongly influences its biogeochemical role in freshwater ecosystems, yet DOM composition measurements are not routinely incorporated into ecological studies. To date, the majority of studies of freshwater ecosystems have relied on bulk analyses of dissolved organic carbon and nitrogen to obtain information about DOM cycling. The problem with this approach is that the biogeochemical significance of DOM can only partially be elucidated using bulk analyses alone because bulk measures cannot detect most carbon and nitrogen transformations. Advances in fluorescence spectroscopy provide an alternative to traditional approaches for characterizing aquatic DOM, and allow for the rapid and precise characterization of DOM necessary to more comprehensively trace DOM dynamics. It is within this context that we discuss the use of fluorescence spectroscopy to provide a novel approach to tackling a longstanding problem: understanding the dynamics and biogeochemical role of DOM. We highlight the utility of fluorescence characterization of DOM and provide examples of the potential range of applications for incorporating DOM fluorescence into ecological studies in the hope that this rapidly evolving technique will further our understanding of the biogeochemical role of DOM in freshwater ecosystems.","2010","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2RG3DRX3","journalArticle","2015","Wollheim, Wilfred M.; Stewart, Robert J.; Aiken, George R.; Butler, Kenna D.; Morse, Nathaniel B.; Salisbury, Joe","Removal of terrestrial DOC in aquatic ecosystems of a temperate river network","Geophysical Research Letters","","","10.1002/2015gl064647","","Surface waters play a potentially important role in the global carbon balance. Dissolved organic carbon (DOC) fluxes are a major transfer of terrestrial carbon to river systems, and the fate of DOC in aquatic systems is poorly constrained. We used a unique combination of spatially distributed sampling of three DOC fractions throughout a river network and modeling to quantify the net removal of terrestrial DOC during a summer base flow period. We found that aquatic reactivity of terrestrial DOC leading to net loss is low, closer to conservative chloride than to reactive nitrogen. Net removal occurred mainly from the hydrophobic organic acid fraction, while hydrophilic and transphilic acids showed no net change, indicating that partitioning of bulk DOC into different fractions is critical for understanding terrestrial DOC removal. These findings suggest that river systems may have only a modest ability to alter the amounts of terrestrial DOC delivered to coastal zones.","2015","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
